4 sajtos;p.szósz;roquefort;mozzarella;füstölt sajt;parmezán
Capricciosa;p.szósz;sonka;articsóka;gomba;tükörtojás;trappista
Capulet;paradicsomos olaj;oliva;paradicsom;rucola;parmezán;pármai
Forte;p.szósz;kolbász;szalámi;hagyma;pepperoni;trappista
Hawaii;p.szósz;ananász;sonka;trappista
Medici;p.szósz;szalámi;aszalt paradicsom;trappista;pármai
Olio e gambero;chilis olaj;rák;fokhagyma;rucola
Paradiso;p.szósz;mozzarella;paradicsom;bazsalikom
Parma;p.szósz;mozzarella;paradicsom;pármai
Pollo;fuszeres tejföl;csirkemell;kaliforniai paprika;fokhagyma;trappista
Prosciutto e funghi;p.szósz;gomba;sajt;pármai
Pulcino;p.szósz;csirkemell;trappista;tükörtojás
Vivaldi;p.szósz;szalámi;articsóka;erdei gomba;trappista
